ego_id,n,seed,complete_pivot_best_cost,complete_pivot_average_cost,complete_ilp_cost,complete_lp_cost,p_delete,edge_pivot_best_cost,edge_pivot_average_cost,edge_all_pairs_ilp_cost,edge_all_pairs_lp_cost,complete_min_max_cc_computed,complete_min_max_cc_cluster_count,complete_min_max_cc_max_disagreement,complete_min_max_cc_d_hat,complete_min_max_cc_lambda,complete_min_max_cc_runtime_seconds,complete_min_max_lp_computed,complete_min_max_lp_cost,complete_min_max_lp_rounding_cost,complete_min_max_lp_max_disagreement_vertex,complete_min_max_lp_cluster_count,complete_min_max_lp_r,complete_min_max_lp_r2,complete_min_max_lp_method,complete_min_max_lp_norm,complete_min_max_lp_runtime_seconds,complete_min_max_lp_rounding_runtime_seconds,complete_min_max_lp_total_runtime_seconds,edge_min_max_cc_computed,edge_min_max_cc_cluster_count,edge_min_max_cc_max_disagreement,edge_min_max_cc_d_hat,edge_min_max_cc_lambda,edge_min_max_cc_runtime_seconds,edge_min_max_lp_computed,edge_min_max_lp_cost,edge_min_max_lp_rounding_cost,edge_min_max_lp_max_disagreement_vertex,edge_min_max_lp_cluster_count,edge_min_max_lp_r,edge_min_max_lp_r2,edge_min_max_lp_method,edge_min_max_lp_norm,edge_min_max_lp_runtime_seconds,edge_min_max_lp_rounding_runtime_seconds,edge_min_max_lp_total_runtime_seconds
0,342,25,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,294,50,8,5,0.024194,,,,,,,,,,,,
0,342,26,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,295,47,8,5,0.023901,,,,,,,,,,,,
0,342,27,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,297,51,8,5,0.024323,,,,,,,,,,,,
0,342,28,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,294,46,8,5,0.024207,,,,,,,,,,,,
0,342,29,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,292,50,8,5,0.024141,,,,,,,,,,,,
0,342,30,,,,,0.15,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,292,49,8,5,0.024397,,,,,,,,,,,,
0,342,1,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,310,42,8,5,0.023617,,,,,,,,,,,,
0,342,2,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,307,38,8,5,0.024325,,,,,,,,,,,,
0,342,3,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,304,38,8,5,0.024384,,,,,,,,,,,,
0,342,4,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,296,44,8,5,0.023948,,,,,,,,,,,,
0,342,5,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,303,40,8,5,0.023783,,,,,,,,,,,,
0,342,6,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,307,34,8,5,0.023837,,,,,,,,,,,,
0,342,7,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,305,41,8,5,0.023668,,,,,,,,,,,,
0,342,8,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,299,44,8,5,0.023812,,,,,,,,,,,,
0,342,9,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,310,37,8,5,0.024009,,,,,,,,,,,,
0,342,10,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,303,43,8,5,0.023975,,,,,,,,,,,,
0,342,11,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,306,38,8,5,0.024421,,,,,,,,,,,,
0,342,12,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,311,42,8,5,0.023867,,,,,,,,,,,,
0,342,13,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,302,43,8,5,0.024269,,,,,,,,,,,,
0,342,14,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,304,38,8,5,0.024078,,,,,,,,,,,,
0,342,15,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,303,35,8,5,0.023819,,,,,,,,,,,,
0,342,16,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,300,42,8,5,0.023785,,,,,,,,,,,,
0,342,17,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,305,39,8,5,0.023762,,,,,,,,,,,,
0,342,18,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,307,41,8,5,0.024125,,,,,,,,,,,,
0,342,19,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,301,41,8,5,0.024131,,,,,,,,,,,,
0,342,20,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,298,41,8,5,0.023603,,,,,,,,,,,,
0,342,21,,,,,0.25,,,,,True,282,60,8,5,0.029108,,,,,,,,,,,,,True,305,45,8,5,0.024002,,,,,,,,,,,,
