n,p_positive,runs,runs_with_both_ilp,complete_ilp_cost,new_ilp_cost,new_over_complete_ilp,ilp_cost_reduction_fraction,complete_lp_ilp_ratio,new_lp_ilp_ratio,lp_ratio_change_new_minus_complete,complete_pivot_ilp_ratio,new_pivot_ilp_ratio,pivot_ratio_change_new_minus_complete,complete_bad_triangles_total,new_bad_triangles_total,bad_triangle_removed_fraction,complete_max_disjoint_over_ilp,new_max_disjoint_over_ilp,new_bad_4_cycles
25,0.4,200,200,82.14,36.77,0.4474034115164931,0.5525965884835069,0.7334181284493639,0.7899330888837024,0.056514960434338506,1.265411482215199,1.2669654996225528,0.0015540174073539706,668.44,219.04,0.6726811948528701,0.7062543669749923,0.7267159263198948,16.35
25,0.5,200,200,98.1,54.635,0.5567079518770239,0.44329204812297607,0.7651830780171381,0.8179369697993422,0.05275389178220399,1.2196455550075613,1.2575986185515546,0.03795306354399331,866.42,346.44,0.6003330399446822,0.7343427295463126,0.7421988427877173,43.925
25,0.6,200,200,105.12,69.525,0.661585150770589,0.33841484922941106,0.8550335175960525,0.8391310851619639,-0.01590243243408863,1.1838825823679786,1.249379246924876,0.06549666455689727,995.16,460.42,0.5374864158706498,0.8182981211051769,0.7652838482708918,96.48
25,0.7,200,200,88.04,73.195,0.8338835409232174,0.1661164590767826,0.9944710138434658,0.9423241393832422,-0.05214687446022357,1.2931908096108546,1.305968835884911,0.012778026274056333,1012.9,526.075,0.4804993095231483,0.9788647320056126,0.8625872062160933,166.52
25,0.8,200,200,59.56,57.95,0.9740414522702168,0.02595854772978319,1.0,0.9971910022448418,-0.0028089977551581553,1.3914543142590232,1.5580296226824226,0.16657530842339938,877.0,498.55,0.4317362197914026,1.0,0.95643840326766,209.13
30,0.2,200,200,59.94,13.34,0.222607989585619,0.777392010414381,0.7208986484805349,0.8413064660564262,0.12040781757589139,1.290269272151732,1.2269533537169552,-0.06331591843477653,385.56,61.485,0.8406670052321398,0.685264095706348,0.7537691279756482,0.69
30,0.3,200,200,93.32,32.32,0.3458058880930558,0.6541941119069442,0.7011161379341246,0.8123169835813816,0.11120084564725703,1.2898190722161276,1.2512029282078216,-0.0386161440083058,771.5,190.73,0.7532813005118939,0.6796204368705512,0.7412837569650549,6.59
30,0.4,200,200,123.9,55.71,0.4492575355213271,0.5507424644786729,0.7032965268148571,0.7533250544556482,0.05002852764079113,1.2481858342873744,1.2778812118381557,0.0296953775507814,1170.88,383.05,0.6731442734526027,0.682417795714682,0.7034964632020531,33.945
30,0.5,200,200,147.76,82.215,0.5561403788617286,0.4438596211382713,0.7339431987811181,0.788508296075613,0.054565097294494894,1.215724462915546,1.2636224520465382,0.04789798913099246,1517.9,603.955,0.6024785237735825,0.7107427128656615,0.7207116166885257,94.505
30,0.6,200,200,156.9,105.29,0.6712394583018798,0.32876054169812025,0.83065407433557,0.8017651648292901,-0.028888909506279932,1.1868645948623755,1.2529414674028807,0.06607687254050519,1749.56,813.275,0.5352469371797443,0.7977927125912873,0.7437176055737219,208.38
30,0.7,200,200,128.4,109.485,0.8549869266721627,0.14501307332783725,0.9958077922077923,0.9222958332221856,-0.07351195898560667,1.2954292573268325,1.3000298493575615,0.004600592030728981,1774.84,927.44,0.47739119851565714,0.9769749871696483,0.8593226984164649,353.365
30,0.8,200,200,86.14,84.455,0.981822645778543,0.01817735422145705,1.0,0.9969466649400816,-0.0030533350599184104,1.4116510087399574,1.5818471350621863,0.1701961263222288,1543.16,878.76,0.4305189864879677,0.9992411266431147,0.9640661022896665,447.23
