file_name,file_path,graph_family,graph_type,n,seed,p_delete,p_positive,cluster_sizes,ego_id,complete_pivot_best_cost,complete_pivot_average_cost,complete_bad_triangles_total,complete_bad_triangles_min_disjoint,complete_bad_triangles_max_disjoint,complete_ilp_cost,complete_lp_cost,complete_primal_cost,complete_dual_cost,complete_average_pivot_approx,complete_lp_ratio,complete_bad_triangle_primal_ratio,complete_bad_triangle_dual_ratio,complete_min_disjoint_bad_triangle_ratio,complete_max_disjoint_bad_triangle_ratio,edge_num_edges_deleted,edge_pivot_best_cost,edge_pivot_average_cost,edge_bad_triangles_total,edge_bad_triangles_min_disjoint,edge_bad_triangles_max_disjoint,edge_ilp_without4_cost,edge_ilp_with4_cost,edge_bad_4_cycles_count,same_clustering_4_cycle,edge_lp_without4_cost,edge_lp_with4_cost,edge_primal_cost,edge_dual_cost,edge_average_pivot_approx_without4,edge_average_pivot_approx_with4,edge_lp_ratio_without4,edge_lp_ratio_with4,edge_bad_triangle_primal_ratio,edge_bad_triangle_dual_ratio,edge_min_disjoint_bad_triangle_ratio,edge_max_disjoint_bad_triangle_ratio,edge_all_pairs_ilp_cost,edge_all_pairs_lp_cost,edge_all_pairs_lp_to_ilp_ratio,edge_all_pairs_ilp_runtime_seconds,edge_all_pairs_lp_runtime_seconds,edge_all_pairs_ilp_optimal,runtime_seconds
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,9,0.25,,"[5, 5]",,10,13.52,37,,8,9.0,9.0,9.0,,1.502222222222222,1.0,1.0,,,0.8888888888888888,10,8,10.27,20,,6,7.0,7.0,0.0,,7.0,7.0,6.5,,1.467142857142857,1.467142857142857,1.0,1.0,0.9285714285714286,,,0.8571428571428571,7.0,7.0,1.0,0.0009999275207519,0.0009999275207519,True,0.0512638092041015
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,9,0.4,,"[5, 5]",,10,13.52,37,,8,9.0,9.0,9.0,,1.502222222222222,1.0,1.0,,,0.8888888888888888,16,6,8.68,12,,4,5.0,6.0,3.0,,5.0,5.5,4.0,,1.736,1.4466666666666663,1.0,0.9166666666666666,0.6666666666666666,,,0.6666666666666666,6.0,5.5,0.9166666666666666,0.0060000419616699,0.0,True,0.0541791915893554
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,10,0.05,,"[5, 5]",,2,2.5,4,,2,2.0,2.0,2.0,,1.25,1.0,1.0,,,1.0,0,2,2.5,4,,2,2.0,2.0,0.0,,2.0,2.0,2.0,,1.25,1.25,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,0.002000093460083,0.0,True,0.0845119953155517
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,10,0.15,,"[5, 5]",,2,2.5,4,,2,2.0,2.0,2.0,,1.25,1.0,1.0,,,1.0,7,2,4.69,3,,2,2.0,2.0,0.0,,2.0,2.0,2.0,,2.345,2.345,1.0,1.0,1.0,,,1.0,2.0,2.0,1.0,0.0019998550415039,0.0,True,0.0441291332244873
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,10,0.25,,"[5, 5]",,2,2.5,4,,2,2.0,2.0,2.0,,1.25,1.0,1.0,,,1.0,12,3,3.97,2,,1,2.0,2.0,0.0,,2.0,2.0,1.0,,1.985,1.985,1.0,1.0,0.5,,,0.5,2.0,2.0,1.0,0.002000093460083,0.0009999275207519,True,0.0343248844146728
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,10,0.4,,"[5, 5]",,2,2.5,4,,2,2.0,2.0,2.0,,1.25,1.0,1.0,,,1.0,20,1,3.2,1,,1,1.0,1.0,0.0,,1.0,1.0,1.0,,3.2,3.2,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.0030000209808349,0.0,True,0.0276482105255126
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,11,0.05,,"[5, 5]",,6,9.36,25,,6,6.0,6.0,6.0,,1.5599999999999998,1.0,1.0,,,1.0,2,5,9.38,21,,5,5.0,5.0,0.0,,5.0,5.0,5.0,,1.876,1.876,1.0,1.0,1.0,,,1.0,5.0,5.0,1.0,0.002000093460083,0.0,True,0.0488209724426269
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,11,0.15,,"[5, 5]",,6,9.36,25,,6,6.0,6.0,6.0,,1.5599999999999998,1.0,1.0,,,1.0,10,5,8.64,16,,5,5.0,5.0,2.0,,5.0,5.0,5.0,,1.7280000000000002,1.7280000000000002,1.0,1.0,1.0,,,1.0,5.0,5.0,1.0,0.0030000209808349,0.001000165939331,True,0.0396559238433837
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,11,0.25,,"[5, 5]",,6,9.36,25,,6,6.0,6.0,6.0,,1.5599999999999998,1.0,1.0,,,1.0,15,4,6.59,10,,4,4.0,4.0,1.0,,4.0,4.0,4.0,,1.6475,1.6475,1.0,1.0,1.0,,,1.0,4.0,4.0,1.0,0.002000093460083,0.0,True,0.0350039005279541
clq_n10_2x5.json,results/experiments_results_clique/n10/clq_n10_2x5.json,clique,clique,10,11,0.4,,"[5, 5]",,6,9.36,25,,6,6.0,6.0,6.0,,1.5599999999999998,1.0,1.0,,,1.0,20,4,6.03,8,,3,3.0,3.0,1.0,,3.0,3.0,3.0,,2.01,2.01,1.0,1.0,1.0,,,1.0,3.0,3.0,1.0,0.0030000209808349,0.001000165939331,True,0.0315790176391601
