n,p_positive,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
10,0.8,0.05,50,2.24,8.7,8.6,8.6,0.9918398268398269,0.00816017316017316,1.0,1.0,1.1615562215562216,1.3022625707625708,45.5,40.12,0.11790918336468252,0.66,0.0,0.02
10,0.8,0.15,50,6.74,8.7,8.2,8.2,0.9562758907758908,0.04372410922410922,1.0,1.0,1.1615562215562216,1.442449494949495,45.5,30.46,0.33278750998952883,3.24,0.0,0.04
10,0.8,0.25,50,11.18,8.7,7.62,7.62,0.8948737928737929,0.10512620712620713,1.0,0.9974848484848485,1.1615562215562216,1.5572243867243867,45.5,22.1,0.5150869117760624,5.06,0.0,0.06
10,0.8,0.40,50,17.8,8.7,5.88,5.66,0.7123115773115773,0.2876884226884227,1.0,0.9937797619047619,1.1615562215562216,1.5888968253968254,45.5,12.28,0.7312806331609847,5.18,0.22,0.46
15,0.2,0.05,50,4.96,11.7,8.2,8.2,0.6979222313634078,0.3020777686365922,0.8639012964160023,0.9129917582417583,1.1687658142511084,1.1291050616050615,40.8,23.28,0.4271218832108765,0.14,0.0,0.06
15,0.2,0.15,50,15.12,11.7,1.76,1.76,0.15132342657342657,0.8486765734265734,0.8639012964160023,0.98125,1.1687658142511084,1.0375,40.8,2.78,0.9307212599226308,0.0,0.0,0.0
15,0.2,0.25,50,25.8,11.7,0.0,0.0,0.0,1.0,0.8639012964160023,,1.1687658142511084,,40.8,0.0,1.0,0.0,0.0,0.0
15,0.2,0.40,50,41.38,11.7,0.0,0.0,0.0,1.0,0.8639012964160023,,1.1687658142511084,,40.8,0.0,1.0,0.0,0.0,0.0
15,0.3,0.05,50,4.96,18.88,15.3,15.3,0.8104715120052918,0.1895284879947082,0.8208356756175877,0.85104256175541,1.2033654356830559,1.1851847872629606,84.48,60.18,0.28729014052439644,0.34,0.0,0.16
15,0.3,0.15,50,15.12,18.88,8.04,7.96,0.4213592525092054,0.5786407474907946,0.8208356756175877,0.9204026945276945,1.2033654356830559,1.1515201465201466,84.48,22.66,0.7379965788379115,0.7,0.08,0.26
15,0.3,0.25,50,25.8,18.88,1.52,1.5,0.07886443334786988,0.9211355666521301,0.8208356756175877,0.9747807017543859,1.2033654356830559,1.0394736842105263,84.48,2.36,0.9732970195758532,0.1,0.02,0.04
15,0.3,0.40,50,41.38,18.88,0.0,0.0,0.0,1.0,0.8208356756175877,,1.2033654356830559,,84.48,0.0,1.0,0.0,0.0,0.0
15,0.4,0.05,50,4.96,24.8,21.56,21.54,0.8686027625502611,0.13139723744973883,0.8347212594328963,0.8462309275441359,1.211981718797027,1.2099821444574979,129.04,100.24,0.22376978292019917,0.88,0.02,0.32
15,0.4,0.15,50,15.12,24.8,14.4,14.34,0.5778281061996007,0.42217189380039927,0.8347212594328963,0.8961290741851887,1.211981718797027,1.1909008376384538,129.04,51.52,0.6041191655664182,3.5,0.06,0.54
15,0.4,0.25,50,25.8,24.8,7.28,7.0,0.2914673072031294,0.7085326927968706,0.8347212594328963,0.9444761072261072,1.211981718797027,1.1553364413364413,129.04,17.68,0.8637882221884757,2.52,0.26,0.5
15,0.4,0.40,50,41.38,24.8,0.0,0.0,0.0,1.0,0.8347212594328963,,1.211981718797027,,129.04,0.0,1.0,0.0,0.0,0.0
15,0.5,0.05,50,4.96,30.02,26.86,26.86,0.8944178666769699,0.10558213332303007,0.8699581569414431,0.8788398949674401,1.2080747242284327,1.212179502954741,168.9,138.38,0.18193926711129185,1.66,0.0,0.18
15,0.5,0.15,50,15.12,30.02,20.76,20.72,0.6897525187394487,0.31024748126055135,0.8699581569414431,0.8908526578185559,1.2080747242284327,1.2126776086093831,168.9,84.8,0.5013357851833609,8.36,0.04,0.54
15,0.5,0.25,50,25.8,30.02,13.86,13.6,0.4596618457676905,0.5403381542323095,0.8699581569414431,0.9208763115618808,1.2080747242284327,1.198088571039944,168.9,42.54,0.7502042417833824,8.92,0.26,0.7
15,0.5,0.40,50,41.38,30.02,4.12,3.92,0.13603402983923824,0.8639659701607617,0.8699581569414431,0.9706638558201058,1.2080747242284327,1.2337549603174602,168.9,7.42,0.9566564274642666,1.18,0.18,0.42
15,0.6,0.05,50,4.96,32.84,30.54,30.54,0.929945902322579,0.07005409767742098,0.9295864255780646,0.9227287637684811,1.1711397884703518,1.1851380470173,195.36,165.28,0.15395925956283948,2.56,0.0,0.36
15,0.6,0.15,50,15.12,32.84,25.4,25.38,0.7735981004979074,0.22640189950209252,0.9295864255780646,0.913383026414385,1.1711397884703518,1.2252371180189288,195.36,110.88,0.4330878358730591,13.72,0.02,0.46
15,0.6,0.25,50,25.8,32.84,19.14,18.96,0.5831853892433049,0.41681461075669507,0.9295864255780646,0.9266488189215213,1.1711397884703518,1.2485010897666369,195.36,65.48,0.6657377564534743,18.78,0.16,0.6
