n,cluster_sizes,p_delete,runs,avg_edges_deleted,avg_complete_ilp_cost,avg_edge_ilp_with4_cost,avg_edge_ilp_without4_cost,avg_new_over_complete_ilp,avg_cost_reduction_fraction,avg_complete_lp_ratio,avg_edge_lp_ratio_with4,avg_complete_pivot_ratio,avg_edge_pivot_ratio_with4,avg_complete_bad_triangles,avg_edge_bad_triangles,avg_bad_triangle_removed_fraction,avg_bad_4_cycles,cost_changed_by_4cycles_fraction,clustering_changed_by_4cycles_fraction
100,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.15,50,747.8,497.22,422.26,422.26,0.8493144920875277,0.15068550791247223,0.861849114544342,0.8614192832250307,1.587559437406365,1.6555395698524897,10172.1,6220.34,0.3880858868873337,2173.74,0.0,0.18
100,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.25,15,1254.0,497.26666666666665,370.73333333333335,370.73333333333335,0.7456922049037732,0.2543077950962268,0.8645945683885579,0.8693965206145887,1.7083907199680943,1.6254460837036184,10216.866666666667,4260.0,0.5824337916746772,3745.3333333333335,0.0,0.13333333333333333
100,"[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",0.40,15,1978.4666666666667,497.26666666666665,297.73333333333335,296.73333333333335,0.5985705654016621,0.4014294345983379,0.8645945683885579,0.8657070482580103,1.7083907199680943,1.5473954752308838,10216.866666666667,2211.0,0.7834041354939745,3821.866666666667,0.6,0.7333333333333333
100,"[25, 25, 25, 25]",0.05,15,247.66666666666666,497.8,474.1333333333333,474.1333333333333,0.9526605156959916,0.04733948430400838,1.0,1.0,1.8540552996829995,1.9460889999851014,18625.6,16011.866666666667,0.1398893377621304,1338.4,0.0,0.0
100,"[25, 25, 25, 25]",0.15,50,747.8,495.92,420.94,420.94,0.8489146639708762,0.15108533602912377,1.0,1.0,1.83320779289194,2.096990740705005,18555.08,11350.94,0.38797963178638745,7458.72,0.0,0.0
100,"[25, 25, 25, 25]",0.25,15,1254.0,497.8,372.73333333333335,372.73333333333335,0.7491581049561051,0.25084189504389487,1.0,1.0,1.8540552996829995,2.2030427424156867,18625.6,7739.066666666667,0.5841415844614851,12631.666666666666,0.0,0.0
100,"[25, 25, 25, 25]",0.40,15,1978.4666666666667,497.8,299.46666666666664,299.46666666666664,0.6015444436423422,0.39845555635765784,1.0,1.0,1.8540552996829995,2.2688176976952756,18625.6,4014.0,0.784420844509177,12951.0,0.0,0.0
100,"[60, 25, 10, 5]",0.05,15,247.66666666666666,493.46666666666664,469.53333333333336,469.53333333333336,0.9515458287444666,0.04845417125553346,1.0,1.0,1.8428889091144276,2.102034737373353,25483.266666666666,21869.333333333332,0.14154165171525665,2855.733333333333,0.0,0.06666666666666667
100,"[60, 25, 10, 5]",0.15,50,747.8,495.92,420.7,420.66,0.8483106301656386,0.1516893698343615,1.0,1.0,1.9038150329922077,2.398410705926868,25544.06,15613.42,0.38865840674660035,16209.86,0.04,0.06
100,"[60, 25, 10, 5]",0.25,15,1254.0,493.46666666666664,368.73333333333335,368.6666666666667,0.7473922434738363,0.2526077565261637,1.0,1.0,1.8428889091144276,2.7089207258847607,25483.266666666666,10626.333333333334,0.5827089882507274,27597.866666666665,0.06666666666666667,0.06666666666666667
100,"[60, 25, 10, 5]",0.40,15,1978.4666666666667,493.46666666666664,295.8,295.6,0.5994424027422952,0.4005575972577048,1.0,1.0,1.8428889091144276,3.062938203327281,25483.266666666666,5548.933333333333,0.7821197378086631,28588.533333333333,0.2,0.2
